grid_id,lat,lon,data_g,num_farmers,include,area
521,22.075,71.255,,31,1,62.24
522,22.075,71.265,,34,1,67.06
523,22.075,71.275,,27,1,55.97
524,22.075,71.285,,34,1,67.06
525,22.075,71.295,,25,1,48.82
526,22.075,71.305,,4,1,6.27
527,22.075,71.315,,0,1,15.7
528,22.065,70.885,,0,0,15.7
529,22.065,70.895,,0,0,15.7
530,22.065,70.905,,0,0,15.7
531,22.065,70.915,,0,0,15.7
532,22.065,70.925,,0,1,15.7
533,22.065,70.935,,0,1,15.7
534,22.065,70.945,,1,1,1.45
535,22.065,70.955,,21,1,41.3
536,22.065,70.965,,34,1,67.06
537,22.065,70.975,,29,1,58.09
538,22.065,70.985,,40,1,81.73
539,22.065,70.995,,41,1,82.4
540,22.065,71.005,,39,1,79.03
541,22.065,71.015,,43,1,85.3
542,22.065,71.025,,42,1,83.85
543,22.065,71.035,,42,1,83.85
544,22.065,71.045,,39,1,79.03
545,22.065,71.055,,39,1,79.03
546,22.065,71.065,,37,1,76.91
547,22.065,71.075,,39,1,79.03
548,22.065,71.085,,34,1,67.06
549,22.065,71.095,,33,1,65.61
550,22.065,71.105,,31,1,62.24
551,22.065,71.115,,34,1,67.06
552,22.065,71.125,,36,1,74.21
553,22.065,71.135,,41,1,82.4
554,22.065,71.145,,42,1,83.85
555,22.065,71.155,,42,1,83.85
556,22.065,71.165,,42,1,83.85
557,22.065,71.175,,43,1,85.3
558,22.065,71.185,,44,1,88
559,22.065,71.195,,43,1,85.3
560,22.065,71.205,,42,1,83.85
561,22.065,71.215,,42,1,83.85
562,22.065,71.225,,33,1,65.61
563,22.065,71.235,,24,1,46.12
564,22.065,71.245,,34,1,67.06
565,22.065,71.255,,34,1,67.06
566,22.065,71.265,,38,1,77.58
567,22.065,71.275,,39,1,79.03
568,22.065,71.285,,34,1,67.06
569,22.065,71.295,,19,1,39.18
570,22.065,71.305,,4,1,6.27
571,22.065,71.315,,1,1,1.45
572,22.055,70.885,,0,0,15.7
573,22.055,70.895,,0,0,15.7
574,22.055,70.905,,0,0,15.7
575,22.055,70.915,,0,0,15.7
576,22.055,70.925,,0,1,15.7
577,22.055,70.935,,0,1,15.7
578,22.055,70.945,,4,1,6.27
579,22.055,70.955,,30,1,60.79
580,22.055,70.965,,38,1,77.58
581,22.055,70.975,,28,1,56.64
582,22.055,70.985,,39,1,79.03
583,22.055,70.995,,41,1,82.4
584,22.055,71.005,,39,1,79.03
585,22.055,71.015,,42,1,83.85
586,22.055,71.025,,40,1,81.73
587,22.055,71.035,,34,1,67.06
588,22.055,71.045,,30,1,60.79
589,22.055,71.055,,38,1,77.58
590,22.055,71.065,,34,1,67.06
591,22.055,71.075,,38,1,77.58
592,22.055,71.085,,38,1,77.58
593,22.055,71.095,,39,1,79.03
594,22.055,71.105,,37,1,76.91
595,22.055,71.115,,40,1,81.73
596,22.055,71.125,,42,1,83.85
597,22.055,71.135,,42,1,83.85
598,22.055,71.145,,39,1,79.03
599,22.055,71.155,,39,1,79.03
600,22.055,71.165,,42,1,83.85
601,22.055,71.175,,44,1,88
602,22.055,71.185,,45,1,88.67
603,22.055,71.195,,44,1,88
604,22.055,71.205,,38,1,77.58
605,22.055,71.215,,34,1,67.06
606,22.055,71.225,,34,1,67.06
607,22.055,71.235,,36,1,74.21
608,22.055,71.245,,42,1,83.85
609,22.055,71.255,,38,1,77.58
610,22.055,71.265,,38,1,77.58
